species	clade	taxa1	n_monomers	pct_box_le2mm	pct_box_le3mm	pct_null_le3mm	enrichment_le3mm	box_le2mm_count	ev_canonical	ev_broad	ev_degenerate	ev_pwm_fimo	lines_positive
idepisucc	Invertebrate	Diptera	205859	0	0.01	0.17	0.05	0	0	0	0	0	0
jamemvect	Invertebrate		13281	0	0.01	0.76	0.01	0	0	1	2	0	0
icagrcyan	Invertebrate	Coleoptera	265450	0	0.01	0.21	0.03	0	0	0	0	0	0
drhedheli	Viridiplantae	Dicots	45101	0	0.01	0.25	0.03	0	0	0	0	0	0
damisoron	Viridiplantae	Dicots	31645	0	0.01	0.14	0.05	0	0	0	0	0	0
iyanonige	Invertebrate	Hymenoptera	33919	0	0.01	0.71	0.01	0	0	5	20	0	1
ichalsede	Invertebrate	Coleoptera	34304	0	0.01	0.17	0.03	0	0	0	0	0	0
dalinvulg	Viridiplantae	Dicots	54418	0	0.01	0.42	0.01	0	0	0	0	0	0
lpleeoryz	Viridiplantae	Monocots	96980	0	0.01	0.22	0.02	0	0	0	0	0	0
ddhotpalu	Viridiplantae	Dicots	138338	0	0.01	0.37	0.01	0	0	0	7	0	0
idantanth	Invertebrate	Diptera	123511	0	0	0.28	0.02	0	0	0	0	0	0
iglabmino	Invertebrate	Dermaptera	124337	0	0	0.02	0.19	3	0	0	0	0	0
iyabicand	Invertebrate	Hymenoptera	153257	0	0	0.22	0.02	0	0	0	0	0	0
ieclodipt	Invertebrate	Ephemeroptera	22835	0	0	0.08	0.06	0	0	0	0	0	0
iilimrhom	Invertebrate	Trichoptera	24055	0	0	0.29	0.01	0	0	0	3	0	0
iycoeconi	Invertebrate	Hymenoptera	49455	0	0	1.54	0	1	0	0	1	0	0
icocyolen	Invertebrate	Coleoptera	871960	0	0	0.12	0.03	1	0	0	0	0	0
bfalche	Vertebrates	Aves	137248	0	0	0.46	0.01	0	0	0	0	0	0
icptemadi	Invertebrate	Coleoptera	196235	0	0	0.06	0.05	0	0	0	0	0	0
iilimauri	Invertebrate	Trichoptera	67393	0	0	0.26	0.01	0	0	0	0	0	0
bporhoc	Vertebrates	Aves	70741	0	0	0.61	0	0	0	0	0	0	0
drgeuriva	Viridiplantae	Dicots	235532	0	0	0.21	0.01	0	0	0	0	0	0
