tt_node_age	broad	our_age	n_pairs
318.99	Vertebrates	302.6172635519	10
320.41	Fungi	140.3198509	4
321.22	Invertebrates	200.00190461875	12
330.31	Viridiplantae	472.750194590833	3
332.67	Invertebrates	228.371932627074	195
344	Invertebrates	243.248849975696	392
349.94	Vertebrates	324.12934608	11
351.78	Fungi	204.320554774	25
353.08	Invertebrates	246.27027231	1
361.53	Invertebrates	298.905398318107	84
365.53	Invertebrates	222.681089175	1
376.38	Viridiplantae	211.4819366	1
383.15	Invertebrates	271.988351251148	88
400.98	Invertebrates	329.803343285663	92
429	Vertebrates	358.703578638292	192
429.04	Vertebrates	358.703578637667	12
440.33	Invertebrates	136.065085105	2
459.04	Invertebrates	379.261157801052	144
476.34	Invertebrates	79.03358413	6
483.72	Viridiplantae	596.48395358438	446
523.45	Fungi	425.299810437	10
531.94	Invertebrates	276.36598415	1
535.61	Invertebrates	165.536285698333	15
563.31	Invertebrates	424.851007186873	51
581.78	Invertebrates	220.630055474375	8
609.53	Invertebrates	213.936687376667	9
642.03	Fungi	528.271779980845	264
691.52	Invertebrates	491.762656194125	520
707.6	Cross-group	522.05114799195	1736
707.64	Cross-group	522.051147984879	62
715.48	Cross-group	571.741095025183	180
715.52	Cross-group	571.741095021	2
758.11	Cross-group	626.583204775723	92
758.15	Cross-group	626.583204771	1
991.82	Viridiplantae	698.587225627196	79
1274.57	Cross-group	714.431439038927	3255
1274.61	Cross-group	714.431439033943	35
1398.3	Cross-group	1670.17687057811	80
1598.44	Cross-group	799.019439847479	10368
1598.48	Cross-group	799.019439843327	81
