tt_node_age	broad	our_age	n_pairs
330.31	Viridiplantae	381.6264207935	3
332.67	Invertebrates	295.563424082	195
344	Invertebrates	370.424494437143	392
349.94	Vertebrates	363.204715421091	11
351.78	Fungi	324.216643321	25
353.08	Invertebrates	334.2400853	1
361.53	Invertebrates	394.401223880738	84
365.53	Invertebrates	412.6997209	1
376.38	Viridiplantae	359.4725261	1
383.15	Invertebrates	375.288496915705	88
400.98	Invertebrates	414.424080631109	92
429	Vertebrates	435.858927001933	192
429.04	Vertebrates	435.858926994333	12
440.33	Invertebrates	354.80864302	2
459.04	Invertebrates	444.950617505229	144
476.34	Invertebrates	488.400996900667	6
483.72	Viridiplantae	475.173627019089	446
523.45	Fungi	469.7218028305	10
531.94	Invertebrates	409.85329575	1
535.61	Invertebrates	521.786958550933	15
563.31	Invertebrates	565.289798310804	51
581.78	Invertebrates	538.479939336	8
609.53	Invertebrates	508.564387173667	9
642.03	Fungi	587.705114498269	264
691.52	Invertebrates	571.865900890896	520
707.6	Cross-group	792.18617183644	1736
707.64	Cross-group	792.186171813097	62
715.48	Cross-group	819.70659149684	180
715.52	Cross-group	819.706591515	2
758.11	Cross-group	847.227011087996	92
758.15	Cross-group	847.227011105	1
991.82	Viridiplantae	938.385186966664	79
1274.57	Cross-group	1029.70344072664	3255
1274.61	Cross-group	1029.70344074351	35
1398.3	Cross-group	1175.84825336633	80
1598.44	Cross-group	1079.62121624476	10368
1598.48	Cross-group	1079.6212162752	81
